year,emissions_gtc,emissions_ppm,emissions_fossil_excl_cement_gtc,emissions_fossil_excl_cement_ppm,emissions_fossil_cement_gtc,emissions_fossil_cement_ppm,emissions_fossil_cement_luc_gtc,emissions_fossil_cement_luc_ppm,observed_law_dome_instrumental_spliced_ppm,observed_noaa_global_ppm,observed_noaa_mauna_loa_ppm
1991,7.794340636363636,3.669651900359527,6.096615545454545,2.8703463020030817,6.2342593636363635,2.9351503595274777,7.794340636363636,3.669651900359527,355.4,355.4,355.7
1992,7.677493363636364,3.6146390600924496,5.906451545454546,2.780815228556754,6.049884818181819,2.848345017976374,7.677493363636364,3.6146390600924496,356.09,356.09,356.54
1993,7.68148690909091,3.6165192604006164,5.96797990909091,2.809783384694402,6.117861818181819,2.88034925526451,7.68148690909091,3.6165192604006164,356.84,356.84,357.21
1994,7.996018636363636,3.764603877760657,6.017204454545454,2.8329587827426805,6.177225545454545,2.908298279404211,7.996018636363636,3.764603877760657,358.33,358.33,358.96
1995,8.035047000000002,3.782978813559323,6.1536965454545465,2.8972205957883927,6.3228430909090925,2.9768564458140734,8.035047000000002,3.782978813559323,360.18,360.18,360.97
1996,8.303082272727275,3.9091724447868526,6.346158545454546,2.987833590138675,6.518947363636365,3.0691842578325637,8.303082272727275,3.9091724447868526,361.93,361.93,362.74
1997,8.74194409090909,4.115792886492039,6.375095181818182,3.001457241910632,6.5547758181818185,3.086052645095018,8.74194409090909,4.115792886492039,363.04,363.04,363.88
1998,8.383171636363638,3.9468793014894716,6.351671454545456,2.9904291217257324,6.530743090909092,3.0747378017462768,8.383171636363638,3.9468793014894716,365.7,365.7,366.84
1999,8.464846090909091,3.985332434514638,6.487599545454547,3.05442539804828,6.675248727272729,3.1427724704673863,8.464846090909091,3.985332434514638,367.8,367.8,368.54
2000,8.537887636363637,4.019721109399075,6.665907545454547,3.138374550590653,6.861770727272729,3.2305888546481776,8.537887636363637,4.019721109399075,368.96,368.96,369.71
2001,8.402520545454545,3.955988957370313,6.708488181818183,3.1584219311761688,6.913237636363637,3.254819979455573,8.402520545454545,3.955988957370313,370.57,370.57,371.32
2002,8.729726727272727,4.1100408320493065,6.855354,3.2275677966101695,7.067809636363637,3.3275939907550076,8.729726727272727,4.1100408320493065,372.58,372.58,373.45
2003,9.443371090909093,4.4460315870570115,7.212831818181818,3.395871854134566,7.446677727272728,3.5059687981510015,9.443371090909093,4.4460315870570115,375.14,375.14,375.98
2004,9.457332272727273,4.452604648176682,7.455570000000001,3.5101553672316386,7.699914545454546,3.6251951720595788,9.457332272727273,4.452604648176682,376.95,376.95,377.7
2005,9.586236545454545,4.513294042116075,7.704994363636364,3.627586800205444,7.968660545454546,3.7517234206471497,9.586236545454545,4.513294042116075,378.98,378.98,379.98
2006,9.883030909090909,4.653027734976887,7.951839545454545,3.7438039291217255,8.237465181818182,3.8782792758089366,9.883030909090909,4.653027734976887,381.15,381.15,382.09
2007,10.011015,4.713283898305085,8.17845,3.8504943502824855,8.485595181818182,3.9951013097072416,10.011015,4.713283898305085,382.9,382.9,384.02
2008,10.26016690909091,4.830587057010786,8.326962272727274,3.920415382639959,8.637161454545454,4.066460195172059,10.26016690909091,4.830587057010786,385.02,385.02,385.83
2009,10.282503272727274,4.841103235747304,8.181024272727273,3.8517063430919363,8.500280454545456,4.002015279917822,10.282503272727274,4.841103235747304,386.5,386.5,387.64
2010,10.769203909090908,5.070246661530559,8.650210636363637,4.072603877760657,8.991614181818182,4.233340010272213,10.769203909090908,5.070246661530559,388.75,388.75,390.1
2011,11.04470590909091,5.199955701078583,8.934532363636364,4.206465331278891,9.301281545454547,4.379134437596303,11.04470590909091,5.199955701078583,390.62,390.62,391.85
2012,11.251962545454546,5.2975341551104265,9.053923636363637,4.262675911658962,9.429565636363638,4.439531843862353,11.251962545454546,5.2975341551104265,392.65,392.65,394.06
2013,11.232481909090911,5.2883624807396,9.115885090909092,4.291847971237802,9.508976181818184,4.476919106317412,11.232481909090911,5.2883624807396,395.4,395.4,396.74
